,lower 91191,upper 91191,forecast 91191,lower 74248,upper 74248,forecast 74248,lower 94645,upper 94645,forecast 94645,lower 93856,upper 93856,forecast 93856,lower 74482,upper 74482,forecast 74482,lower 92114,upper 92114,forecast 92114,lower 94278,upper 94278,forecast 94278,lower 69273,upper 69273,forecast 69273,lower 94229,upper 94229,forecast 94229,lower 64920,upper 64920,forecast 64920,lower 74379,upper 74379,forecast 74379,lower 79908,upper 79908,forecast 79908,lower 70156,upper 70156,forecast 70156,lower 92238,upper 92238,forecast 92238,lower 88435,upper 88435,forecast 88435,lower 84504,upper 84504,forecast 84504,lower 80293,upper 80293,forecast 80293,lower 80296,upper 80296,forecast 80296,lower 67353,upper 67353,forecast 67353,lower 88815,upper 88815,forecast 88815
2018-05-01,199982.78444816874,200988.78906261493,200485.78675539183,213719.2818923395,215520.509066454,214619.89547939674,198977.07686782558,201326.94626602402,200152.0115669248,180219.66417898168,182940.663728853,181580.16395391733,187246.82765447296,188769.07954307977,188007.95359877637,183079.57598431833,183959.44929710298,183519.51264071066,212255.1443616329,215793.56510197013,214024.35473180152,183405.64701127278,184425.2335050545,183915.44025816364,195749.3591920653,198106.22582315147,196927.7925076084,183250.85245992427,185900.22014021556,184575.5363000699,184903.19927255332,186612.95669259963,185758.07798257648,194675.34303684626,200624.17595085606,197649.75949385116,214447.46863716393,217050.58570309263,215749.02717012828,203960.85118123976,206265.15003888862,205113.0006100642,207799.62055714242,210996.96793361806,209398.29424538024,200699.90160926004,202980.0991093916,201840.00035932582,199806.98920041518,200932.87904942696,200369.93412492107,207491.1640833306,210571.3588992387,209031.26149128465,190393.44955054956,193948.14744953072,192170.79850004014,193803.62876318078,195328.24247506578,194565.93561912328
2018-06-01,200243.25659908797,202764.82851281483,201504.0425559514,214252.6833245608,218498.21803929703,216375.45068192892,195078.217342953,201376.55913782437,198227.38824038868,177611.50352958302,184435.8411257383,181023.67232766066,187157.8464000197,190984.4262841816,189071.13634210065,182473.47112909885,184549.6921776288,183511.58165336383,212100.48920439256,220941.01943232774,216520.75431836015,183109.49676529953,185563.95436931367,184336.7255673066,193909.75305317444,200207.7114480321,197058.73225060327,182239.35803164708,188596.289658914,185417.82384528054,185066.77350139988,189180.95312127323,187123.86331133655,189917.51375922142,205659.75155944313,197788.63265933227,205712.12758050786,212141.38202120204,208926.75480085495,203759.38049161967,209199.8093945471,206479.5949430834,203765.52064671216,211647.69643443415,207706.60854057316,198730.93329280723,204622.54313994906,201676.73821637814,198681.93399578138,201451.03248185382,200066.4832388176,205180.64269810828,213062.32970285264,209121.48620048046,187566.2545998279,196616.33416615226,192091.29438299008,190936.9242970285,195020.33258286573,192978.62843994712
2018-07-01,200245.87457784146,204730.04648431236,202487.9605310769,215006.64508958132,222291.86151520227,218649.2533023918,190396.96205309502,202125.59452762673,196261.27829036087,174471.99514955498,186612.38200306956,180542.18857631227,186309.19069445386,193126.51876017635,189717.8547273151,181677.9767921375,185242.8240997719,183460.4004459547,211679.06297290634,227368.27344308578,219523.66820799606,182217.77021500046,186478.2768066659,184348.02351083318,190816.01263647008,202517.7019911192,196666.85731379464,180036.56310678454,191050.78872286156,185543.67591482305,184814.49150526838,191954.2998321267,188384.39566869754,183589.37589036577,212631.95546844447,198110.66567940512,196987.75306536964,208316.77998707697,202652.2665262233,203389.5377245899,212733.44666294675,208061.49219376832,197579.8957441884,211453.40834934346,204516.65204676593,195673.86007455047,206362.4903404391,201018.1752074948,197140.09567294864,202007.1603813856,199573.6280271671,201085.71486263888,215291.26807953222,208188.49147108555,181684.20055647218,197941.1251838277,189812.66287014994,187006.0271838273,194605.95889976044,190805.99304179387
2018-08-01,199919.68517221243,206733.71581614116,203326.7004941768,214562.72706377195,225383.15235533254,219972.93970955224,184787.8706919929,203217.2279814081,194002.5493367005,171681.1835794685,190133.99136135724,180907.58747041287,184885.51238206791,195257.8018664844,190071.65712427616,180923.07172456957,186219.6752009364,183571.373462753,212867.38023001174,236675.26455142532,224771.32239071853,181124.9965940925,187497.76630796646,184311.38145102948,186771.00912758076,205126.32580294998,195948.66746526537,176368.34077812437,192824.26544408992,184596.30311110715,184345.32155836295,195023.31227398277,189684.31691617286,176025.5831301631,221336.4448662472,198681.01399820516,190888.75793146086,207998.8421271206,199443.80002929072,201445.04444945246,215330.5778506561,208387.81115005427,187817.68306847976,208755.07836460834,198286.38071654405,191997.4327259988,208468.2896644008,200232.8611951998,195584.37240957227,202922.799241133,199253.58582535264,195717.6019899201,217505.62009708947,206611.6110435048,174771.6788447006,199647.38735388828,187209.53309929444,182508.78645429685,194445.719002794,188477.25272854543
2018-09-01,199287.831224148,208747.232058728,204017.531641438,213355.16959995148,228144.09247070295,220749.6310353272,177995.34687107353,204228.3165259721,191111.83169852282,169303.89899002423,194925.02114167972,182114.46006585198,183096.6841749724,197508.42171502643,190302.55294499942,179982.016252038,187222.89589726896,183602.45607465348,215487.1160868441,248505.38335017508,231996.24971850959,179999.70220273238,188750.69980632653,184375.20100452946,182288.70874595435,208380.92254535304,195334.8156456537,171236.4339004222,193816.08182492145,182526.25786267183,184109.52585351697,198770.94165171546,191440.23375261622,166857.7609489729,230997.74447819544,198927.75271358417,183702.1067231723,207352.82928586542,195527.46800451886,198908.14656283022,217893.01149788793,208400.57903035908,177151.11891094843,206077.28208124507,191614.20049609675,188879.13998144804,211977.3782334445,200428.25910744627,193899.21396453743,204031.1981060597,198965.20603529856,190878.49116136285,221328.14478476427,206103.31797306356,167463.8053415162,202169.1051639947,184816.45525275546,177082.54492437124,194068.4716014886,185575.5082629299
2018-10-01,198865.2061236432,211250.14797650656,205057.67705007488,212173.51242731992,231321.02538122443,221747.26890427218,170984.69241248106,205995.8663702074,188490.27939134423,166176.47237707776,199725.8317712577,182951.15207416774,181507.8961242202,200389.01368412832,190948.45490417426,178518.22370306464,187894.6756454387,183206.44967425166,215425.03315014634,258623.86473351988,237024.4489418331,179203.98050442006,190571.67184536194,184887.826174891,177523.19013719575,212309.0104185937,194916.10027789473,166808.91866989853,196124.2284433024,181466.57355660046,183591.53597533947,202635.62100334914,193113.5784893443,156638.77660416623,241866.9187427037,199252.84767343497,176271.54345856982,207139.83749272607,191705.69047564795,196822.18799305684,221408.3457992623,209115.26689615956,169375.21215635393,207114.77367084415,188244.99291359904,186177.39990977745,216649.18015954876,201413.2900346631,192012.7665183416,205225.7430486678,198619.2547835047,185798.74126301816,225864.17933479417,205831.46029890617,159606.88800998012,205213.3127227958,182410.10036638795,171019.7953012578,193683.79788743122,182351.79659434452
2018-11-01,198343.39886220364,213908.44838838896,206125.9236252963,211539.5876036436,235403.50694116246,223471.54727240303,163811.14910422743,208476.93429190962,186144.04169806853,162300.98726693733,204468.9810459921,183384.98415646472,180051.01705085047,203791.92973259077,191921.47339172062,176514.17752649725,188201.65024237786,182357.91388443756,210810.39561898424,265071.8872223884,237941.14142068633,178280.59388860158,192483.16974454198,185381.88181657178,172026.49689060735,216366.29461051605,194196.3957505617,164323.76614182998,200934.89405087408,182629.33009635203,182361.06359473238,206153.13808310195,194257.10083891716,145955.045809723,254304.15236232485,200129.59908602393,171069.16330201484,209771.8588870075,190420.51109451117,194344.553923028,224992.35526760953,209668.45459531876,162462.71899820524,209767.34753711612,186115.03326766068,182760.54332076476,221279.6884266611,202020.11587371293,190283.7022597874,206839.78331346714,198561.74278662726,179970.99973924886,230515.51398373014,205243.2568614895,150248.41723201395,207726.46634626272,178987.44178913833,165164.71512066486,194072.5034017861,179618.60926122547
2018-12-01,197694.81123320918,216675.00283257055,207184.90703288987,211726.49392096174,240639.29832658306,226182.8961237724,156285.00731299445,211405.6546773325,183845.33099516347,158115.13023150642,209539.1293155835,183827.12977354496,178462.73050750326,207423.73997399834,192943.2352407508,174398.28446867003,188559.790963748,181479.03771620902,203511.63828931501,269650.60069071903,236581.119490017,177198.69522424386,194438.57494300697,185818.6350836254,166134.4185751635,220814.08242494197,193474.25050005273,162773.54194094084,207200.30112182297,184986.9215313819,180472.397240665,209351.38753744945,194911.89238905723,134387.1446450597,267716.60515998694,201051.87490252333,165175.77576164875,212283.54925460878,188729.66250812876,191307.41277186605,228444.56389381274,209875.9883328394,153156.28516373876,210721.56961215468,181938.92738794672,178354.84441722417,225540.27442287822,201947.5594200512,188193.94133737503,208335.7526618889,198264.84699963196,173250.67688013462,235068.6086729365,204159.64277653556,141318.17807241538,211561.62636147076,176439.90221694307,159554.64661529686,195222.81466196038,177388.73063862862
2019-01-01,196810.90050665702,219425.74331026076,208118.3219084589,211650.25543582015,245923.8297970483,228787.04261643422,147379.82350910365,213695.35812350592,180537.5908163048,153620.83364196066,214896.07171668173,184258.4526793212,176315.74709763762,210833.24888517318,193574.4979914054,172452.32153129156,189240.77032681837,180846.54592905496,196642.59688559914,275420.2847459011,236031.44081575013,175960.17259459497,196427.03410618377,186193.60335038937,159981.31815166108,225727.92997788452,192854.6240647728,159293.2248146161,212022.8008977194,185658.01285616774,179016.8550304107,213300.36133162072,196158.6081810157,120812.34669522266,280845.12376080034,200828.7352280115,155932.65780005755,211979.2656874486,183955.96174375308,188126.91668516083,232154.6020664905,210140.75937582567,141194.8524791684,209671.48611846945,175433.16929881892,173527.92791632237,229955.37743280863,201741.6526745655,185907.44471154845,209861.99678922584,197884.72075038715,166067.40526351775,239898.7239666126,202983.06461506517,133099.42002415203,216941.43695757526,175020.42849086365,153390.24621956726,196296.56177433225,174843.40399694975
2019-02-01,196185.15386517384,222641.4187669195,209413.28631604667,211243.91349650314,251172.9677585612,231208.44062753217,137178.4299124874,215380.22749372822,176279.3287031078,149926.82354807164,221613.97200934569,185770.39777870866,174446.92204217069,214837.720604462,194642.32132331634,170279.04142607242,189838.9156852711,180058.97855567175,190999.32525933822,283133.0026935758,237066.16397645703,174780.80777467717,198653.74623954005,186717.2770071086,153802.20201279153,231295.3635432872,192548.78277803937,154476.64651726847,215969.1049847294,185222.87575099894,177800.55170325484,217788.45907751404,197794.50539038444,105498.18273316546,293847.1236846221,199672.65320889378,146346.91756616908,211835.66912298146,179091.29334457527,186805.15715653732,238102.44854219744,212453.80284936738,130215.52973402877,210217.15873741938,170216.34423572407,168957.11897588384,235167.28918882707,202062.20408235546,183764.96903582863,211746.37785023186,197755.67344303025,158813.25837881071,245353.67416288098,202083.46627084585,124284.62676938876,222508.95495194817,173396.79086066847,146758.20705487506,197349.0791777691,172053.64311632208
